学号,语文成绩,数学成绩,英语成绩,综合成绩
23690,68.0,33.1,59.4,60.6
23691,33.0,74.8,60.0,40.2
23692,66.1,25.5,45.5,54.5
23693,63.9,36.4,63.2,53.4
23694,47.7,58.3,52.1,42.7
23695,67.1,35.6,55.4,57.9
23696,43.3,38.5,50.6,43.5
23697,31.0,37.5,45.4,42.7
23698,64.7,60.4,29.2,24.7
23699,48.7,13.3,44.5,67.8
23700,59.0,42.0,43.2,68.8
23701,77.3,55.2,39.4,52.1
23702,39.2,49.5,46.9,48.3
23703,47.8,37.3,44.2,50.9
23704,73.5,71.1,50.9,56.2
23705,60.0,46.5,65.7,40.8
23706,39.5,42.5,31.1,21.9
23707,35.7,51.5,57.8,41.6
23708,42.1,47.8,35.9,41.0
23709,38.9,67.7,30.2,34.4
23710,53.6,33.0,68.8,51.3
23711,51.2,45.5,32.9,38.4
23712,54.2,33.1,47.8,62.9
23713,37.4,59.8,55.6,57.4
23714,48.9,38.7,37.3,52.5
23715,19.2,35.6,49.3,77.5
23716,52.2,22.3,56.5,58.1
23717,67.6,43.4,47.9,72.4
23718,28.6,75.0,64.8,49.2
23719,57.3,36.0,42.0,32.1
23720,40.8,46.9,63.9,54.9
23721,62.0,64.6,56.9,55.2
23722,52.4,41.9,58.6,64.6
23723,56.1,26.2,66.3,29.3
23724,51.0,58.7,51.0,89.6
23725,69.9,85.2,71.7,21.4
23726,55.2,32.1,48.3,38.6
23727,39.4,61.9,52.9,62.8
23728,51.5,37.8,46.4,39.3
23729,44.5,57.3,43.6,47.9
23730,52.4,39.3,22.5,49.3
23731,43.7,52.2,44.8,50.1
23732,39.8,46.5,51.3,52.7
23733,53.0,82.3,74.2,41.8
23734,50.8,36.0,34.3,12.6
23735,66.0,38.2,55.1,37.6
23736,43.8,63.2,62.0,56.9
23737,20.3,59.8,70.0,56.8
23738,44.5,39.6,76.4,41.6
23739,25.6,64.8,65.2,66.1
23740,56.2,49.1,41.8,50.9
23741,24.9,57.8,33.1,55.7
23742,35.2,33.0,18.6,51.0
23743,44.6,66.7,51.6,55.4
23744,73.2,56.4,14.9,73.8
23745,33.9,32.4,57.5,36.1
23746,50.2,66.3,64.9,52.4
23747,58.7,65.0,36.0,94.2
23748,72.3,54.0,31.2,56.3
23749,61.7,73.6,35.1,49.6
23750,66.4,53.1,22.8,45.3
23751,63.0,81.5,63.3,50.2
23752,31.9,57.4,21.0,42.7
23753,55.4,34.7,38.1,66.2
23754,62.7,53.7,12.3,47.5
23755,35.7,43.5,73.7,61.0
23756,41.3,64.6,30.5,33.4
23757,38.0,44.4,55.6,37.1
23758,61.6,41.7,53.0,58.2
23759,49.0,29.2,54.1,40.7
23760,45.2,17.3,39.4,55.8
23761,30.8,60.9,22.0,33.1
23762,49.0,33.8,63.3,53.8
23763,41.5,55.9,46.9,39.1
23764,53.7,41.0,55.0,35.5
23765,32.9,54.4,44.0,37.3
23766,52.7,83.5,55.6,48.7
23767,43.4,84.3,68.7,54.2
23768,31.3,48.0,64.2,74.1
23769,30.1,41.9,33.4,57.4
23770,32.3,50.4,68.3,73.2
23771,46.9,33.2,65.8,59.4
23772,51.8,55.1,42.8,31.6
23773,54.0,53.2,61.2,90.1
23774,54.6,43.0,52.9,75.1
23775,38.6,69.7,54.5,42.1
23776,65.9,56.1,45.4,47.4
23777,43.4,71.3,48.9,43.9
23778,56.8,15.4,44.9,54.4
23779,47.5,50.9,24.0,43.3
23780,55.6,64.1,34.5,45.8
23781,46.8,46.9,62.2,60.9
23782,55.9,74.0,57.6,51.0
23783,49.9,22.6,38.7,53.3
23784,62.2,42.6,52.4,58.0
23785,37.7,63.6,54.1,55.2
23786,23.5,54.7,65.8,28.9
23787,35.4,36.1,31.7,41.3
23788,66.0,34.3,61.2,56.6
23789,47.7,56.8,67.6,46.5
23790,51.4,55.6,44.2,73.2
23791,34.2,46.2,51.9,40.1
23792,51.0,57.4,73.1,55.2
23793,34.7,22.4,46.3,29.2
23794,36.9,53.9,48.5,60.9
23795,44.0,18.7,82.0,36.7
23796,56.7,68.8,49.3,24.3
23797,58.3,53.9,49.5,39.0
23798,58.7,54.5,76.8,66.6
23799,26.2,51.2,55.4,56.2
23800,49.9,36.5,41.6,30.6
23801,47.0,35.0,59.0,67.9
23802,27.0,69.0,45.1,67.2
23803,50.2,40.4,44.2,66.7
23804,46.2,44.6,79.2,57.8
23805,57.7,42.4,36.0,48.8
23806,51.2,51.2,58.4,57.6
23807,41.8,43.8,68.1,27.6
23808,63.9,47.1,54.4,50.9
23809,16.7,60.0,32.2,32.4
23810,49.0,35.7,57.2,58.1
23811,23.6,51.9,42.6,33.6
23812,36.3,70.9,50.0,49.2
23813,57.9,60.7,27.7,61.8
23814,30.9,30.9,63.9,47.7
23815,28.6,46.2,16.0,63.6
23816,85.7,55.9,26.5,43.8
23817,29.6,35.9,52.0,34.5
23818,74.8,67.3,50.8,35.5
23819,47.4,48.1,66.2,20.7
23820,42.1,72.5,72.0,35.0
23821,58.5,56.3,50.7,56.5
23822,70.0,40.1,67.8,56.6
23823,32.8,45.9,51.1,56.6
23824,42.3,51.2,75.4,38.7
23825,62.7,38.2,6.1,86.0
23826,54.3,65.1,29.6,33.2
23827,66.5,32.2,57.9,55.9
23828,57.7,36.8,57.8,16.3
23829,77.1,43.3,49.8,24.6
23830,52.7,61.5,27.3,36.8
23831,53.3,70.3,70.1,52.0
23832,54.8,72.3,69.3,25.0
23833,47.9,61.8,37.4,53.3
23834,62.7,42.0,46.4,47.4
23835,53.6,24.3,39.2,48.1
23836,61.8,62.7,60.7,79.2
23837,64.2,68.6,57.7,28.1
23838,56.4,41.8,50.0,42.7
23839,57.5,73.3,67.5,45.2
23840,34.8,48.5,22.9,36.6
23841,41.7,43.2,38.6,53.1
23842,62.7,49.7,25.1,45.0
23843,71.4,38.2,57.3,66.9
23844,20.9,29.1,43.2,53.6
23845,41.5,32.7,38.8,55.8
23846,50.4,53.8,26.0,62.5
23847,36.8,36.9,46.3,70.1
23848,37.7,71.0,56.8,52.7
23849,57.1,52.8,57.7,57.4
23850,73.7,43.9,53.7,67.5
23851,19.5,30.2,62.6,41.7
23852,47.4,35.1,54.2,55.4
23853,56.9,53.0,32.1,39.1
23854,61.7,59.1,10.6,28.3
23855,54.8,17.3,21.5,73.8
23856,76.4,25.6,35.5,68.8
23857,50.4,52.3,50.0,37.7
23858,69.7,47.1,30.8,57.6
23859,40.3,57.5,34.8,16.1
23860,50.9,44.1,47.6,47.5
23861,31.8,55.1,66.2,25.7
23862,63.5,56.3,42.6,52.2
23863,48.2,55.2,85.0,38.3
23864,55.4,63.4,27.5,69.8
23865,45.3,56.0,35.9,55.6
23866,58.8,24.7,59.8,49.7
23867,56.0,64.7,24.5,36.1
23868,35.1,96.2,56.9,63.5
23869,35.9,42.2,36.2,54.0
23870,49.6,38.0,70.1,26.3
23871,59.9,42.5,61.4,53.5
23872,77.9,41.3,60.3,76.4
23873,54.5,45.3,29.0,27.5
23874,65.1,54.7,42.6,77.6
23875,25.8,67.1,68.9,54.2
23876,80.2,28.1,53.1,21.5
23877,59.1,48.5,58.3,69.3
23878,49.3,51.0,83.8,42.3
23879,47.5,36.6,26.4,37.5
23880,33.4,58.9,85.3,62.0
23881,37.7,45.3,43.1,20.6
23882,78.7,79.2,43.9,29.5
23883,35.2,62.6,37.8,55.7
23884,34.9,30.7,70.8,54.6
23885,39.5,27.2,54.8,63.6
23886,32.0,78.1,63.2,42.3
23887,50.2,55.5,60.7,40.3
23888,66.3,64.8,66.2,38.1
23889,40.8,74.7,54.5,41.6
23890,29.4,39.0,43.5,52.5
23891,54.4,56.8,51.6,55.9
23892,49.2,55.1,43.7,36.1
23893,65.0,38.5,56.0,48.4
23894,43.2,38.9,61.6,48.9
23895,46.1,58.2,66.8,67.4
23896,47.8,30.4,50.4,34.6
23897,51.3,42.0,41.2,45.5
23898,44.1,56.0,54.4,55.1
23899,41.7,50.9,34.6,22.4
23900,22.2,65.0,52.2,64.5
23901,41.5,51.2,44.7,60.8
23902,60.7,57.0,74.2,55.8
23903,62.8,40.2,36.6,14.5
23904,42.9,50.8,59.1,96.3
23905,69.5,57.7,49.1,83.3
23906,49.6,47.2,48.2,74.6
23907,29.9,24.8,64.9,53.7
23908,25.2,66.5,33.4,27.1
23909,68.3,72.5,66.1,12.5
23910,44.4,29.8,31.0,59.0
23911,31.8,68.2,48.6,44.3
23912,16.1,67.9,40.1,69.8
23913,44.1,52.6,21.4,33.9
23914,56.1,37.1,58.9,45.5
23915,39.5,28.2,59.8,46.8
23916,34.2,61.3,35.6,73.0
23917,41.8,32.0,53.7,35.8
23918,68.6,44.6,51.0,45.5
23919,29.1,78.7,84.1,31.9
23920,40.4,36.6,16.9,55.8
23921,68.2,52.4,33.5,48.7
23922,57.4,59.3,25.6,54.5
23923,52.7,62.7,23.5,61.3
23924,40.3,50.5,51.6,46.7
23925,50.5,48.9,68.1,44.4
23926,41.9,12.0,70.4,47.1
23927,37.1,17.0,61.6,70.9
23928,33.8,37.9,61.2,81.7
23929,61.8,63.2,63.3,31.6
23930,49.1,56.1,61.9,37.7
23931,54.7,51.4,44.7,37.6
23932,52.3,61.0,50.2,46.6
23933,56.6,58.1,28.2,45.2
23934,46.2,69.9,47.0,75.3
23935,42.8,65.4,44.2,64.1
23936,37.8,42.0,62.9,55.4
23937,28.8,56.3,31.0,44.9
23938,33.2,66.1,40.1,72.0
23939,44.5,54.0,59.5,43.1
23940,26.0,59.6,47.7,52.8
23941,29.3,40.3,64.4,52.9
23942,65.6,30.8,44.8,60.4
23943,53.4,37.7,49.9,57.0
23944,43.2,68.0,59.5,32.7
23945,84.1,45.7,61.5,30.7
23946,25.3,42.7,46.2,79.2
23947,64.6,50.1,48.5,40.4
23948,48.3,47.0,43.8,38.8
23949,61.8,22.9,45.9,65.9
23950,51.6,59.5,42.3,51.0
23951,21.9,51.2,49.3,37.1
23952,51.4,60.6,58.9,47.0
23953,55.0,50.2,41.7,55.2
23954,17.1,51.0,33.2,66.5
23955,79.2,50.2,43.8,55.2
23956,54.7,71.7,36.2,60.6
23957,60.1,47.6,26.1,58.1
23958,32.5,50.8,31.6,57.2
23959,60.4,74.5,51.4,46.9
23960,66.3,44.5,62.5,23.6
23961,53.8,53.5,38.6,52.9
23962,49.9,36.5,46.1,51.3
23963,36.6,31.0,59.7,62.6
23964,46.8,41.4,18.0,51.1
23965,42.3,36.1,35.1,46.3
23966,58.6,67.7,55.2,29.1
23967,37.3,58.5,80.3,49.1
23968,58.5,29.6,30.5,61.9
23969,37.4,28.6,30.4,51.2
23970,46.1,51.8,52.8,56.6
23971,59.2,67.1,27.7,61.5
23972,39.4,37.6,35.5,40.4
23973,59.8,60.0,47.6,26.8
23974,58.3,80.6,61.6,70.1
23975,45.9,68.4,47.4,40.0
23976,67.4,76.3,60.1,60.4
23977,51.2,64.0,47.0,60.5
23978,66.5,32.3,3.9,56.6
23979,76.9,56.6,38.6,41.0
23980,46.4,46.0,61.5,56.3
23981,59.7,51.8,41.7,67.8
23982,40.4,48.3,45.1,70.9
23983,34.5,78.1,39.2,51.2
23984,47.1,52.0,52.9,50.4
23985,29.6,44.2,41.1,58.6
23986,35.9,61.0,58.1,25.6
23987,58.9,53.5,45.7,45.5
23988,42.3,52.9,32.4,40.9
23989,60.7,42.2,62.5,57.9
23990,54.5,49.1,31.2,36.4
23991,77.8,64.5,41.4,45.8
23992,57.9,33.5,78.2,67.2
23993,66.7,65.5,35.6,44.3
23994,56.0,40.6,44.5,51.9
23995,54.7,50.6,64.9,19.0
23996,67.5,54.8,42.2,63.9
23997,60.0,46.5,39.1,55.9
23998,53.2,48.3,74.9,48.6
23999,53.1,37.4,63.5,42.8
24000,58.1,55.2,57.6,59.8
24001,39.9,67.2,47.7,48.7
24002,39.3,27.6,44.2,50.3
24003,71.4,60.8,50.3,45.4
24004,78.0,44.8,53.8,73.7
24005,36.1,53.0,54.4,60.1
24006,40.0,45.1,53.5,52.9
24007,67.1,50.0,47.8,34.3
24008,58.0,33.2,48.0,57.6
24009,60.1,78.4,61.8,61.4
24010,63.4,28.2,59.0,46.2
24011,46.4,50.1,63.7,62.9
24012,54.9,32.1,39.0,45.3
24013,53.8,56.3,33.4,54.4
24014,37.1,24.2,54.2,30.0
24015,54.7,55.4,66.0,67.1
24016,68.6,41.8,26.8,85.3
24017,45.0,45.1,56.9,46.1
24018,52.3,54.5,57.0,57.9
24019,53.1,58.9,56.5,43.5
24020,45.7,62.2,56.0,39.5
24021,60.2,34.2,43.1,32.5
24022,39.8,62.0,53.3,47.7
24023,70.0,53.2,31.8,27.8
24024,59.4,68.4,43.1,46.7
24025,35.9,36.4,51.5,63.7
24026,75.5,43.3,42.6,39.3
24027,52.5,38.3,62.6,48.8
24028,39.2,58.5,40.7,62.3
24029,66.6,61.9,29.0,23.1
24030,57.4,62.2,65.8,38.7
24031,23.4,53.6,53.0,51.1
24032,42.1,49.7,53.6,58.0
24033,54.2,68.1,25.6,44.2
24034,17.6,34.1,38.8,37.0
24035,51.3,31.6,36.8,85.9
24036,52.4,62.7,4.7,32.5
24037,32.2,25.3,42.1,43.4
24038,54.1,77.0,49.3,58.4
24039,50.1,51.2,49.7,60.9
24040,32.1,81.3,32.6,67.5
24041,63.8,38.8,63.9,59.6
24042,62.6,42.3,48.9,36.3
24043,45.7,57.6,74.1,68.4
24044,47.0,28.0,51.6,56.1
24045,60.9,41.5,38.4,74.3
24046,47.0,39.1,64.0,45.1
24047,21.0,38.6,53.6,60.9
24048,57.3,59.4,27.1,49.6
24049,37.8,34.8,40.5,23.0
24050,44.2,56.2,75.5,64.8
24051,71.9,71.0,32.0,48.6
24052,48.0,54.2,47.7,60.0
24053,50.0,49.2,42.3,23.8
24054,57.6,35.9,47.6,56.3
24055,57.6,24.8,7.6,57.4
24056,36.2,58.2,62.7,50.1
24057,49.1,56.6,51.5,51.2
24058,50.5,67.7,36.9,63.4
24059,54.1,58.6,57.7,65.5
24060,54.3,53.6,22.8,47.5
24061,88.8,59.1,39.8,67.5
24062,32.4,48.3,56.4,69.6
24063,64.7,25.9,43.2,7.5
24064,67.8,45.5,44.9,57.0
24065,57.4,51.1,37.3,43.1
24066,40.2,34.0,53.8,55.0
24067,75.0,64.0,59.0,53.2
24068,17.1,49.0,6.7,60.5
24069,39.8,22.3,44.4,38.1
24070,67.6,33.2,37.0,64.3
24071,44.4,74.0,13.3,50.5
24072,73.9,59.4,80.0,43.4
24073,27.3,37.7,47.6,46.7
24074,33.3,61.2,48.9,50.2
24075,42.0,54.2,16.2,38.2
24076,56.3,72.1,53.4,48.2
24077,46.7,87.8,38.1,64.9
24078,42.6,36.8,76.4,22.3
24079,71.3,49.7,43.6,44.4
24080,72.7,78.4,55.8,40.2
24081,43.8,62.6,39.8,53.0
24082,24.4,34.9,32.3,31.6
24083,17.6,75.1,51.5,57.7
24084,53.6,61.7,51.0,70.2
24085,59.8,73.3,25.8,53.2
24086,50.9,31.8,74.5,36.8
24087,48.9,33.0,49.5,65.0
24088,37.9,47.9,78.4,60.9
24089,59.8,58.2,64.6,59.8
24090,75.2,33.1,65.4,64.6
24091,16.7,65.4,49.4,83.2
24092,48.8,84.4,30.4,40.3
24093,35.4,41.0,42.9,36.3
24094,27.6,40.2,34.8,46.7
24095,33.1,76.8,64.8,62.9
24096,55.7,42.0,51.8,61.2
24097,56.1,29.7,49.0,47.2
24098,71.9,72.3,30.2,71.9
24099,50.1,61.2,42.2,63.3
24100,23.6,72.6,47.1,69.9
24101,46.4,50.5,57.5,42.3
24102,29.2,51.7,52.2,36.7
24103,31.9,46.0,30.4,54.5
24104,58.7,44.6,50.7,59.7
24105,52.9,42.3,73.4,63.8
24106,58.8,36.1,65.6,49.1
24107,44.6,39.1,67.9,47.9
24108,61.9,44.1,52.0,22.6
24109,43.8,53.9,45.2,52.1
24110,66.8,70.6,82.4,59.4
24111,55.2,25.2,36.7,19.4
24112,46.9,55.6,48.6,66.0
24113,53.2,24.2,77.1,39.5
24114,49.7,57.8,57.0,56.3
24115,73.9,22.6,58.1,92.8
24116,53.7,23.5,59.7,57.2
24117,50.0,57.8,50.7,49.4
24118,46.4,53.0,57.9,38.1
24119,62.6,28.5,65.8,62.0
24120,60.6,66.5,41.8,41.8
24121,45.9,46.0,37.6,60.0
24122,32.7,57.7,0.0,38.8
24123,36.5,65.1,72.1,48.1
24124,47.2,76.2,39.2,51.1
24125,70.2,49.8,43.0,60.9
24126,46.2,34.4,20.3,59.6
24127,41.1,66.9,69.3,54.6
24128,23.6,70.5,68.9,56.3
24129,72.7,62.8,55.8,76.7
24130,58.5,55.9,71.1,54.7
24131,61.9,67.5,41.5,66.0
24132,64.4,45.4,55.6,68.2
24133,47.5,50.6,33.3,60.2
24134,51.3,62.7,35.6,59.9
24135,72.3,56.4,35.5,54.3
24136,52.7,65.6,51.1,65.5
24137,58.8,25.7,56.8,38.0
24138,63.1,47.1,41.9,57.7
24139,59.6,62.8,45.6,46.8
24140,48.1,48.6,40.9,48.2
24141,49.5,61.2,75.1,37.5
24142,61.7,43.4,54.0,60.6
24143,61.6,70.7,33.5,46.0
24144,67.5,44.8,37.8,53.9
24145,58.3,38.2,54.8,60.0
24146,58.9,46.3,65.7,71.4
24147,43.3,63.0,71.0,37.0
24148,41.3,46.4,44.4,48.9
24149,61.7,16.2,49.3,63.3
24150,41.4,39.6,40.4,68.4
24151,49.7,50.1,27.7,50.6
24152,70.7,52.0,47.0,57.6
24153,68.3,62.6,48.1,51.1
24154,54.5,43.1,46.0,44.6
24155,45.6,40.5,49.1,41.2
24156,48.1,49.5,80.3,34.4
24157,63.0,44.4,46.1,57.2
24158,49.5,45.5,32.9,41.1
24159,41.6,39.2,42.9,37.4
24160,68.2,62.0,28.9,48.2
24161,52.7,74.3,59.6,56.6
24162,41.3,20.7,76.8,49.2
24163,57.2,44.2,49.6,48.9
24164,64.6,66.6,30.0,57.6
24165,34.9,53.2,67.5,46.8
24166,47.0,46.5,56.9,33.5
24167,46.3,75.9,13.0,49.0
24168,56.8,40.3,59.9,72.3
24169,59.5,60.5,61.8,61.9
24170,41.7,58.3,49.3,46.1
24171,27.6,31.8,45.0,58.8
24172,65.5,46.2,60.2,51.9
24173,33.2,51.4,45.7,76.2
24174,54.1,68.5,64.1,53.2
24175,48.0,76.9,60.9,58.2
24176,52.4,45.7,44.8,63.6
24177,74.8,58.3,30.6,40.7
24178,95.6,61.5,38.7,76.0
24179,25.5,56.9,29.5,49.5
24180,64.8,38.8,28.2,54.8
24181,47.7,50.8,69.0,58.5
24182,65.7,62.0,58.6,43.1
24183,64.4,40.5,39.9,47.6
24184,71.1,33.1,43.8,49.3
24185,54.3,29.1,54.6,63.2
24186,36.7,53.5,72.2,73.2
24187,63.9,23.2,65.3,41.0
24188,51.8,38.1,57.6,67.7
24189,46.5,26.5,53.7,50.5
24190,42.9,34.6,36.8,58.9
24191,65.1,43.4,35.2,36.2
24192,74.1,28.2,74.0,42.9
24193,32.1,44.3,57.3,59.4
24194,59.3,33.5,30.4,47.5
24195,44.4,49.4,53.0,51.3
24196,28.0,38.3,65.2,45.8
24197,52.2,65.6,34.5,46.9
24198,37.5,56.4,71.9,50.7
24199,26.3,34.1,53.7,45.2
24200,38.3,61.3,41.0,65.8
24201,34.6,30.2,52.7,60.7
24202,40.3,60.6,74.0,33.4
24203,30.1,77.9,70.8,58.4
24204,44.1,56.5,36.2,55.0
24205,39.3,33.2,46.9,55.6
24206,55.6,47.0,37.2,58.5
24207,58.9,44.4,32.5,48.9
24208,53.9,39.4,49.8,54.9
24209,46.5,47.0,62.2,45.7
24210,46.1,48.3,58.8,47.3
24211,37.4,60.2,34.9,53.0
24212,37.8,59.0,76.7,54.2
24213,60.6,61.9,27.1,42.7
24214,23.6,29.2,46.4,15.2
24215,48.8,32.4,27.3,78.9
24216,45.1,66.9,75.3,34.9
24217,59.0,46.3,45.4,46.8
24218,28.6,53.5,20.1,39.5
24219,50.2,53.1,58.5,34.3
24220,55.1,41.2,62.2,52.4
24221,21.4,48.8,40.5,53.7
24222,33.9,41.7,35.4,52.5
24223,48.6,25.4,42.7,67.7
24224,57.7,42.1,50.0,60.9
24225,52.7,60.9,55.2,22.8
24226,58.4,44.2,36.3,53.6
24227,33.8,57.7,53.0,39.9
24228,26.2,49.9,35.4,21.5
24229,51.3,64.8,47.9,50.6
24230,31.6,67.4,59.7,48.6
24231,37.0,52.8,48.1,40.0
24232,64.0,60.4,47.3,36.0
24233,52.8,44.7,61.8,48.0
24234,41.5,26.9,39.6,55.5
24235,39.5,21.8,60.4,29.7
24236,59.3,49.9,62.6,41.5
24237,53.2,30.2,49.7,67.4
24238,31.8,73.9,51.7,60.0
24239,20.8,36.7,53.0,45.2
24240,78.2,53.0,50.9,35.1
24241,31.7,46.5,55.7,37.6
24242,57.9,28.3,46.7,52.7
24243,72.7,39.5,69.6,58.0
24244,52.2,50.3,41.9,64.3
24245,41.0,50.8,63.6,67.1
24246,28.6,44.3,36.4,71.2
24247,28.4,55.2,25.5,79.3
24248,55.7,33.1,59.4,55.9
24249,71.8,44.5,48.2,23.1
24250,44.1,75.2,60.9,77.0
24251,41.7,34.3,64.7,53.2
24252,60.5,68.5,35.0,29.2
24253,39.7,37.5,49.4,26.2
24254,54.1,34.2,77.3,51.6
24255,50.6,51.6,54.2,39.8
24256,43.9,62.1,50.0,61.1
24257,49.8,38.9,42.6,30.9
24258,76.4,19.7,30.6,44.3
24259,59.1,69.3,28.6,56.7
24260,66.4,38.8,54.4,53.2
24261,36.2,31.4,21.9,82.6
24262,66.4,53.8,72.9,57.1
24263,59.6,41.4,94.2,55.9
24264,27.5,53.4,48.7,48.4
24265,58.1,36.5,33.5,69.8
24266,42.3,39.8,34.2,43.5
24267,26.8,34.0,45.9,36.0
24268,51.9,35.4,42.8,4.8
24269,58.1,47.1,59.7,44.9
24270,52.3,76.9,40.0,52.5
24271,48.4,52.4,43.8,45.6
24272,45.0,44.5,74.4,33.8
24273,87.0,47.6,58.4,41.8
24274,32.3,27.2,46.1,35.4
24275,63.1,74.6,78.3,38.0
24276,50.2,67.9,51.9,60.2
24277,37.2,64.9,56.7,60.0
24278,49.3,57.9,37.9,60.3
24279,29.1,69.2,56.5,10.0
24280,41.1,56.7,42.8,39.3
24281,49.3,57.4,66.0,41.9
24282,26.7,42.2,3.0,28.2
24283,57.6,56.8,40.3,56.7
24284,35.5,74.4,46.6,34.0
24285,28.2,74.8,44.7,37.1
24286,33.8,36.2,60.5,55.8
24287,82.6,29.7,47.1,69.9
24288,20.3,52.3,31.1,45.1
24289,56.5,41.9,38.9,66.7
24290,38.7,50.3,49.4,50.6
24291,44.7,45.4,11.8,52.8
24292,59.1,41.6,58.3,17.4
24293,58.3,72.1,48.6,48.0
24294,39.8,44.8,55.6,2.4
24295,29.6,51.0,66.8,52.7
24296,59.3,27.1,60.9,72.0
24297,58.3,86.7,25.5,62.7
24298,45.7,26.1,17.2,58.1
24299,56.6,47.6,76.1,14.1
24300,43.3,63.5,12.5,35.9
24301,37.6,37.4,64.0,46.2
24302,50.1,48.3,22.6,20.5
24303,57.8,73.0,59.3,50.1
24304,54.6,48.3,67.8,56.2
24305,57.6,60.9,63.2,31.6
24306,38.6,30.6,57.9,25.0
24307,73.7,57.6,29.9,37.8
24308,44.9,86.1,66.4,35.9
24309,48.2,70.2,43.1,63.7
24310,30.2,70.1,29.6,44.9
24311,47.1,67.1,38.8,66.2
24312,58.0,50.5,47.5,66.9
24313,61.4,30.3,25.7,6.5
24314,73.4,34.0,37.3,45.1
24315,57.8,48.6,48.5,25.4
24316,54.2,58.7,33.5,45.2
24317,43.3,42.1,56.9,41.7
24318,40.1,65.6,64.3,69.6
24319,64.6,51.1,43.8,61.4
24320,64.3,52.7,42.7,73.8
24321,33.8,58.4,65.0,62.3
24322,60.8,32.9,79.9,47.0
24323,59.8,36.5,41.9,54.0
24324,33.3,43.8,50.1,39.0
24325,58.1,48.5,63.1,56.3
24326,34.3,47.2,57.7,43.8
24327,13.6,51.7,31.3,73.5
24328,47.6,55.4,48.0,45.1
24329,53.9,47.3,53.0,54.1
24330,48.3,82.1,52.4,39.1
24331,93.0,35.6,64.3,59.6
24332,55.7,52.2,47.1,29.5
24333,52.2,77.1,70.2,50.9
24334,56.4,37.8,15.9,52.4
24335,43.4,31.8,62.5,49.8
24336,63.9,67.0,54.6,53.2
24337,55.4,67.7,63.8,48.8
24338,54.7,34.0,66.3,50.0
24339,40.6,54.7,70.6,76.9
24340,26.5,68.0,33.8,55.6
24341,42.5,45.3,64.9,54.7
24342,54.2,60.8,61.0,53.2
24343,43.3,65.9,57.4,28.8
24344,54.4,65.0,48.2,61.4
24345,46.5,49.4,23.8,42.5
24346,56.5,16.3,60.7,42.3
24347,35.3,19.6,58.5,48.3
24348,52.9,55.4,36.5,71.0
24349,40.4,57.9,50.3,33.4
24350,26.9,70.5,46.0,45.5
24351,47.5,48.6,55.2,30.5
24352,73.0,38.7,72.5,38.1
24353,28.1,69.0,41.0,17.6
24354,51.8,61.3,57.0,27.0
24355,62.0,47.7,56.2,37.3
24356,84.5,24.6,49.2,63.1
24357,42.6,55.9,32.0,41.4
24358,40.5,72.4,66.8,71.9
24359,32.5,76.7,50.6,48.6
24360,67.1,49.3,47.3,75.2
24361,37.0,63.7,46.7,76.3
24362,44.4,47.6,28.0,64.0
24363,22.3,63.2,43.3,51.3
24364,63.3,62.4,67.5,40.5
24365,67.4,23.3,44.3,38.5
24366,62.7,49.2,43.3,56.6
24367,25.9,29.0,53.7,30.5
24368,59.1,58.4,66.1,57.6
24369,24.9,50.3,59.1,62.9
24370,50.9,55.2,64.9,60.9
24371,53.1,60.6,66.0,52.0
24372,54.7,56.6,32.0,54.5
24373,58.0,57.6,50.5,48.3
24374,49.9,70.1,40.3,60.5
24375,20.6,48.4,47.3,44.8
24376,58.0,58.3,41.7,66.9
24377,51.5,32.8,18.2,56.5
24378,36.5,45.0,29.6,54.2
24379,26.5,75.4,47.0,61.0
24380,73.1,35.0,29.7,18.2
24381,68.5,61.7,28.6,53.7
24382,60.6,68.6,58.6,45.6
24383,39.9,53.0,49.0,35.6
24384,12.2,55.2,58.9,30.5
24385,61.5,30.8,67.3,26.0
24386,55.5,65.2,67.0,71.1
24387,44.4,41.1,30.7,42.2
24388,66.9,57.7,60.0,63.3
24389,62.7,56.8,34.8,32.3
24390,52.6,26.4,25.8,67.3
24391,50.5,49.3,33.0,53.4
24392,50.8,38.7,12.8,56.0
24393,60.2,51.3,54.3,48.2
24394,37.1,68.0,60.0,49.4
24395,56.4,58.0,45.5,46.2
24396,36.2,52.9,67.4,54.3
24397,70.0,59.5,50.8,34.8
24398,58.0,37.1,36.6,55.1
24399,39.7,61.7,13.2,56.4
24400,51.2,48.6,71.4,77.2
24401,37.2,14.5,26.8,34.6
24402,72.6,72.1,51.0,58.5
24403,74.3,47.8,52.9,47.4
24404,60.4,40.2,26.2,45.1
24405,73.3,82.2,50.0,46.9
24406,52.3,55.3,67.1,29.6
24407,61.5,31.6,48.2,54.9
24408,68.4,38.6,33.5,55.2
24409,49.9,51.7,59.1,52.5
24410,51.1,71.0,53.5,13.6
24411,64.0,47.4,59.8,19.3
24412,59.7,56.2,46.6,56.4
24413,38.7,64.9,50.3,40.1
24414,17.2,42.5,52.6,61.1
24415,47.4,49.0,26.8,60.5
24416,18.5,54.3,66.0,60.9
24417,35.1,40.0,55.1,58.9
24418,36.9,39.5,54.5,44.3
24419,41.5,62.6,50.5,54.6
24420,62.3,67.4,59.3,67.6
24421,65.6,48.8,36.5,29.7
24422,57.6,48.4,36.5,54.3
24423,59.5,47.3,29.5,56.8
24424,59.8,45.5,31.2,66.9
